country_id,country_name,vat,shipping
1,austria,20,30
2,belgium,21,30
3,bulgaria,20,30
4,croatia,25,30
5,cyprus,19,30
6,czech,21,30
7,denmark,25,30
8,estonia,20,30
9,finland,24,30
10,france,20,30
11,germany,19,30
12,greece,24,30
13,hungary,27,30
14,ireland,23,30
15,italy,22,30
16,latvia,21,30
17,lithuania,21,30
18,luxembourg,17,30
19,malta,18,30
20,netherlands,21,30
21,poland,23,30
22,portugal,23,30
23,romania,19,30
24,slovakia,20,30
25,slovenia,22,30
26,spain,21,30
27,sweden,25,30
28,united kingdom,20,30
