country_id,country_name,vat,shipping
1,Austria,0.2,16.0
2,Belgium,0.21,11.0
3,Bulgaria,0.2,22.5
4,Croatia,0.25,19.5
5,Cyprus,0.19,23.5
6,Czech,0.21,14.5
7,Denmark,0.25,13.0
8,Estonia,0.2,21.0
9,Finland,0.24,21.5
10,France,0.2,12.5
11,Germany,0.19,13.5
12,Greece,0.24,23.0
13,Hungary,0.27,19.0
14,Ireland,0.23,0.0
15,Italy,0.22,18.5
16,Latvia,0.21,20.5
17,Lithuania,0.21,20.0
18,Luxembourg,0.17,11.5
19,Malta,0.18,22.0
20,Netherlands,0.21,12.0
21,Poland,0.23,18.0
22,Portugal,0.23,15.5
23,Romania,0.19,14.0
24,Slovakia,0.2,17.0
25,Slovenia,0.22,17.5
26,Spain,0.21,15.0
27,Sweden,0.25,16.5
28,United Kingdom,0.2,10.5
